Date,Rate_BRL,Rate_CHI,Gold,Rate_COP
1993-11-01,0.0643,412.44,369.25,818.06
1993-11-02,0.0643,411.94,363.2,817.03
1993-11-03,0.0652,411.87,368.25,816.7
1993-11-04,0.0663,411.42,372.25,817.01
1993-11-05,0.0673,411.58,377.2,816.79
1993-11-08,0.0683,411.14,375.35,815.7
1993-11-09,0.0683,410.8,376.5,814.26
1993-11-10,0.0715,410.65,377.15,813.95
1993-11-11,0.0715,410.14,376.5,811.07
1993-11-12,0.0726,411.4,373.5,809.87
1993-11-15,0.0726,411.81,375.5,809.87
1993-11-16,0.0737,410.53,374.6,809.95
1993-11-17,0.0749,410.75,376.7,815.18
1993-11-18,0.076,411.06,376.2,816.32
1993-11-19,0.0772,413.42,377.9,816.62
1993-11-22,0.0784,412.91,379.2,817.06
1993-11-23,0.0808,412.91,377.85,817.06
1993-11-24,0.0821,414.09,376.25,812.12
1993-11-25,0.0821,414.93,377.85,811.67
1993-11-26,0.0834,416.13,377.25,812.04
1993-11-29,0.0847,420.33,370.35,812.11
1993-11-30,0.0858,419.33,370.7,811.73
1993-12-01,0.087,419.56,376.3,812.21
1993-12-02,0.0881,421.28,374.15,811.78
1993-12-03,0.0893,423.89,376.85,809.63
1993-12-06,0.0905,426.22,376.4,806.49
1993-12-07,0.0917,429.15,377.7,803.1
1993-12-08,0.093,429.15,384.0,803.1
1993-12-09,0.0942,425.77,382.75,800.6
1993-12-10,0.0955,422.71,383.7,798.51
1993-12-13,0.0968,423.66,386.85,797.53
1993-12-14,0.0982,426.15,387.1,798.2
1993-12-15,0.0996,426.49,387.5,798.12
1993-12-16,0.101,425.66,386.1,799.43
1993-12-17,0.101,425.83,387.6,804.89
1993-12-20,0.1039,425.54,389.5,806.5
1993-12-21,0.1053,425.92,387.7,803.81
1993-12-22,0.1069,427.13,386.4,802.46
1993-12-23,0.1084,427.87,386.3,802.46
1993-12-24,0.1084,428.68,386.85,801.4
1993-12-27,0.1116,428.64,388.1,801.69
1993-12-28,0.1132,429.9,387.45,809.13
1993-12-29,0.1149,431.04,390.4,802.33
1993-12-30,0.1167,431.04,390.9,802.33
1993-12-31,0.1167,428.47,390.7,802.33
1994-01-03,0.1205,429.1,394.0,802.33
1994-01-04,0.1224,431.08,393.85,804.33
1994-01-05,0.1243,431.68,391.2,805.91
1994-01-06,0.1263,430.62,388.9,810.01
1994-01-07,0.1283,429.63,387.1,814.21
1994-01-10,0.1303,429.59,384.6,818.83
1994-01-11,0.1324,428.93,388.5,818.83
1994-01-12,0.1344,429.08,386.4,818.89
1994-01-13,0.1387,430.13,390.0,818.5
1994-01-14,0.1409,430.13,390.0,819.81
1994-01-17,0.1409,430.27,391.7,820.01
1994-01-18,0.1409,430.6,393.3,815.81
1994-01-19,0.1456,430.68,392.6,816.91
1994-01-20,0.148,430.95,387.8,816.15
1994-01-21,0.1504,432.78,382.0,814.56
1994-01-24,0.1529,433.69,381.6,815.91
1994-01-25,0.1555,431.32,381.9,815.65
1994-01-26,0.1582,430.02,384.5,816.69
1994-01-27,0.1609,429.94,377.0,819.1
1994-01-28,0.1637,430.65,377.3,821.52
1994-01-31,0.1668,431.04,381.9,818.38
1994-02-01,0.17,430.99,384.5,817.0
1994-02-02,0.1732,430.04,384.9,819.27
1994-02-03,0.1765,429.24,387.3,817.69
1994-02-04,0.1798,429.48,386.5,817.69
1994-02-07,0.1832,429.14,379.6,818.0
1994-02-08,0.1866,428.89,380.75,817.64
1994-02-09,0.1902,427.72,384.2,817.81
1994-02-10,0.1937,427.06,382.75,817.68
1994-02-11,0.1973,428.54,381.8,817.88
1994-02-14,0.1973,428.92,384.25,817.78
1994-02-15,0.1973,428.47,384.2,817.59
1994-02-16,0.201,427.63,383.8,817.59
1994-02-17,0.2085,427.44,383.5,816.1
1994-02-18,0.2124,427.44,380.3,815.19
1994-02-21,0.2124,427.13,380.45,814.13
1994-02-22,0.2162,427.71,378.9,816.04
1994-02-23,0.2202,428.68,378.75,818.33
1994-02-24,0.2241,428.43,377.45,820.76
1994-02-25,0.2283,429.47,379.3,819.68
1994-02-28,0.2317,429.38,381.75,819.69
1994-03-01,0.2354,428.93,378.75,820.12
1994-03-02,0.2391,431.03,378.1,819.83
1994-03-03,0.2427,432.64,377.85,819.61
1994-03-04,0.2465,433.35,377.2,818.7
1994-03-07,0.2503,432.28,376.4,817.86
1994-03-08,0.2542,431.31,377.0,817.76
1994-03-09,0.2581,430.88,379.5,818.02
1994-03-10,0.2622,432.09,386.8,818.37
1994-03-11,0.2662,432.52,385.5,818.46
1994-03-14,0.2704,431.7,387.4,818.62
1994-03-15,0.2747,431.23,387.1,818.69
1994-03-16,0.279,431.22,385.3,818.49
1994-03-17,0.2835,430.52,382.7,820.44
1994-03-18,0.288,430.08,387.3,820.91
1994-03-21,0.2929,430.52,388.5,820.91
1994-03-22,0.2981,430.11,389.5,821.34
1994-03-23,0.3034,430.28,387.0,821.73
1994-03-24,0.3087,429.58,391.7,821.82
1994-03-25,0.3142,428.49,391.4,821.7
1994-03-28,0.3198,428.51,388.3,821.14
1994-03-29,0.3254,429.16,386.2,820.63
1994-03-30,0.3321,428.1,386.4,820.78
1994-03-31,0.3321,426.89,391.0,820.78
1994-04-01,0.3321,427.0,391.0,820.78
1994-04-04,0.3385,426.89,387.2,819.51
1994-04-05,0.345,426.57,384.8,820.21
1994-04-06,0.3517,425.45,385.4,820.93
1994-04-07,0.3584,425.38,384.2,820.93
1994-04-08,0.3653,424.7,384.8,822.57
1994-04-11,0.3723,424.7,378.2,825.28
1994-04-12,0.3795,421.38,379.15,828.92
1994-04-13,0.3868,421.38,378.6,829.32
1994-04-14,0.3942,421.74,379.1,828.81
1994-04-15,0.4018,421.81,378.2,827.96
1994-04-18,0.4095,421.81,377.3,827.44
1994-04-19,0.4173,424.81,372.1,827.93
1994-04-20,0.4253,424.81,373.0,829.47
1994-04-21,0.4253,422.92,373.8,831.24
1994-04-22,0.4334,424.46,371.5,834.3
1994-04-25,0.4414,426.22,374.0,838.25
1994-04-26,0.4494,425.41,375.5,836.96
1994-04-27,0.4575,425.41,376.0,835.4
1994-04-28,0.4652,428.12,375.9,837.31
1994-04-29,0.4735,426.13,377.05,838.28
1994-05-02,0.4813,426.13,376.7,837.27
1994-05-03,0.4891,425.13,376.1,836.86
1994-05-04,0.4971,425.02,377.1,838.04
1994-05-05,0.5053,425.9,374.1,839.14
1994-05-06,0.5136,425.5,384.0,841.0
1994-05-09,0.5222,427.06,381.5,841.25
1994-05-10,0.5307,426.05,379.3,841.07
1994-05-11,0.5396,425.59,382.2,841.27
1994-05-12,0.5487,425.39,380.3,840.7
1994-05-13,0.5579,424.53,381.0,841.92
1994-05-16,0.5673,424.28,383.4,843.24
1994-05-17,0.5769,424.02,384.5,843.24
1994-05-18,0.5866,424.02,382.2,842.23
1994-05-19,0.5965,423.54,381.5,842.21
1994-05-20,0.6066,423.83,384.25,842.83
1994-05-23,0.6168,424.68,389.6,842.64
1994-05-24,0.6273,424.29,388.3,842.33
1994-05-25,0.6378,424.93,386.6,842.93
1994-05-26,0.6593,424.14,385.25,843.08
1994-05-27,0.6705,423.1,386.0,842.22
1994-05-30,0.6705,423.1,385.5,842.22
1994-05-31,0.6819,421.81,387.3,840.93
1994-06-01,0.6938,421.81,383.8,840.93
1994-06-02,0.6938,421.34,384.6,842.0
1994-06-03,0.706,421.34,380.9,841.44
1994-06-06,0.7183,422.47,380.9,841.44
1994-06-07,0.7309,422.47,381.45,840.37
