Fecha sistema,Fecha (Mes año),Índice ,Variación mensual (%),Variación anual (%),Variación año corrido (%),Orden_División,División del gasto
24/04/2026 08:50:06,1963-07-31 00:00:00,0.061243791878432,0.77,28.99,25.93,30,Total
24/04/2026 08:50:06,1963-08-31 00:00:00,0.061400143561557,0.26,29.28,26.25,30,Total
24/04/2026 08:50:06,1963-09-30 00:00:00,0.062033926277082,1.03,29.83,27.56,30,Total
24/04/2026 08:50:06,1963-10-31 00:00:00,0.063052306213152,1.64,31.55,29.65,30,Total
24/04/2026 08:50:06,1963-11-30 00:00:00,0.064375013532448,2.1,33.44,32.37,30,Total
24/04/2026 08:50:06,1963-12-31 00:00:00,0.064974594317289,0.93,33.6,33.6,30,Total
24/04/2026 08:50:06,1964-01-31 00:00:00,0.06592177839765,1.46,30.67,1.46,30,Total
24/04/2026 08:50:06,1964-02-29 00:00:00,0.066285435660633,0.55,23.88,2.02,30,Total
24/04/2026 08:50:06,1964-03-31 00:00:00,0.067823824542811,2.32,20.51,4.39,30,Total
24/04/2026 08:50:06,1964-04-30 00:00:00,0.069397811352844,2.32,18.18,6.81,30,Total
24/04/2026 08:50:06,1964-05-31 00:00:00,0.071599298891133,3.17,20.43,10.2,30,Total
24/04/2026 08:50:06,1964-06-30 00:00:00,0.072677706705545,1.51,19.58,11.86,30,Total
24/04/2026 08:50:06,1964-07-31 00:00:00,0.072066957943338,-0.84,17.67,10.92,30,Total
24/04/2026 08:50:06,1964-08-31 00:00:00,0.070996228113364,-1.49,15.63,9.27,30,Total
24/04/2026 08:50:06,1964-09-30 00:00:00,0.070534851048428,-0.65,13.7,8.56,30,Total
24/04/2026 08:50:06,1964-10-31 00:00:00,0.069994600143344,-0.77,11.01,7.73,30,Total
24/04/2026 08:50:06,1964-11-30 00:00:00,0.070569052979112,0.82,9.62,8.61,30,Total
24/04/2026 08:50:06,1964-12-31 00:00:00,0.070689806734383,0.17,8.8,8.8,30,Total
24/04/2026 08:50:06,1965-01-31 00:00:00,0.071690038707232,1.41,8.75,1.41,30,Total
24/04/2026 08:50:06,1965-02-28 00:00:00,0.070993436119023,-0.97,7.1,0.43,30,Total
24/04/2026 08:50:06,1965-03-31 00:00:00,0.072000648077727,1.42,6.16,1.85,30,Total
24/04/2026 08:50:06,1965-04-30 00:00:00,0.073260535524338,1.75,5.57,3.64,30,Total
24/04/2026 08:50:06,1965-05-31 00:00:00,0.074173517674015,1.25,3.6,4.93,30,Total
24/04/2026 08:50:06,1965-06-30 00:00:00,0.075303577383746,1.52,3.61,6.53,30,Total
24/04/2026 08:50:06,1965-07-31 00:00:00,0.075362907263503,0.08,4.57,6.61,30,Total
24/04/2026 08:50:06,1965-08-31 00:00:00,0.075518560948043,0.21,6.37,6.83,30,Total
24/04/2026 08:50:06,1965-09-30 00:00:00,0.076212371541911,0.92,8.05,7.81,30,Total
24/04/2026 08:50:06,1965-10-31 00:00:00,0.077854762213311,2.16,11.23,10.14,30,Total
24/04/2026 08:50:06,1965-11-30 00:00:00,0.078941546010748,1.4,11.86,11.67,30,Total
24/04/2026 08:50:06,1965-12-31 00:00:00,0.080898036045568,2.48,14.44,14.44,30,Total
24/04/2026 08:50:06,1966-01-31 00:00:00,0.081940147933541,1.29,14.3,1.29,30,Total
24/04/2026 08:50:06,1966-02-28 00:00:00,0.082991333803124,1.28,16.9,2.59,30,Total
24/04/2026 08:50:06,1966-03-31 00:00:00,0.085024603682336,2.45,18.09,5.1,30,Total
24/04/2026 08:50:06,1966-04-30 00:00:00,0.08755484855434,2.98,19.51,8.23,30,Total
24/04/2026 08:50:06,1966-05-31 00:00:00,0.088580208476263,1.17,19.42,9.5,30,Total
24/04/2026 08:50:06,1966-06-30 00:00:00,0.08852785858236,-0.06,17.56,9.43,30,Total
24/04/2026 08:50:06,1966-07-31 00:00:00,0.088612316411191,0.1,17.58,9.54,30,Total
24/04/2026 08:50:06,1966-08-31 00:00:00,0.088384768872357,-0.26,17.04,9.26,30,Total
24/04/2026 08:50:06,1966-09-30 00:00:00,0.089348704918767,1.09,17.24,10.45,30,Total
24/04/2026 08:50:06,1966-10-31 00:00:00,0.090313338963762,1.08,16,11.64,30,Total
24/04/2026 08:50:06,1966-11-30 00:00:00,0.090548564487035,0.26,14.7,11.93,30,Total
24/04/2026 08:50:06,1966-12-31 00:00:00,0.091305194953588,0.84,12.86,12.86,30,Total
24/04/2026 08:50:06,1967-01-31 00:00:00,0.091781927987402,0.52,12.01,0.52,30,Total
24/04/2026 08:50:06,1967-02-28 00:00:00,0.092198633142874,0.45,11.09,0.98,30,Total
24/04/2026 08:50:06,1967-03-31 00:00:00,0.093207241098749,1.09,9.62,2.08,30,Total
24/04/2026 08:50:06,1967-04-30 00:00:00,0.093572294358903,0.39,6.87,2.48,30,Total
24/04/2026 08:50:06,1967-05-31 00:00:00,0.094162801162134,0.63,6.3,3.13,30,Total
24/04/2026 08:50:06,1967-06-30 00:00:00,0.095823339796754,1.76,8.24,4.95,30,Total
24/04/2026 08:50:06,1967-07-31 00:00:00,0.095969221501098,0.15,8.3,5.11,30,Total
24/04/2026 08:50:06,1967-08-31 00:00:00,0.095812171819388,-0.16,8.4,4.94,30,Total
24/04/2026 08:50:06,1967-09-30 00:00:00,0.096141627151687,0.34,7.6,5.3,30,Total
24/04/2026 08:50:06,1967-10-31 00:00:00,0.096888485638044,0.78,7.28,6.12,30,Total
24/04/2026 08:50:06,1967-11-30 00:00:00,0.097428038544543,0.56,7.6,6.71,30,Total
24/04/2026 08:50:06,1967-12-31 00:00:00,0.097853817681625,0.44,7.17,7.17,30,Total
24/04/2026 08:50:06,1968-01-31 00:00:00,0.09882752570823,0.99,7.68,0.99,30,Total
24/04/2026 08:50:06,1968-02-29 00:00:00,0.09881845172662,-0.01,7.18,0.99,30,Total
24/04/2026 08:50:06,1968-03-31 00:00:00,0.099860563614593,1.05,7.14,2.05,30,Total
24/04/2026 08:50:06,1968-04-30 00:00:00,0.101502954285993,1.64,8.48,3.73,30,Total
24/04/2026 08:50:06,1968-05-31 00:00:00,0.102180710912397,0.67,8.52,4.42,30,Total
24/04/2026 08:50:06,1968-06-30 00:00:00,0.102572288118795,0.38,7.04,4.82,30,Total
24/04/2026 08:50:06,1968-07-31 00:00:00,0.10338894646369,0.8,7.73,5.66,30,Total
24/04/2026 08:50:06,1968-08-31 00:00:00,0.103144646958807,-0.24,7.65,5.41,30,Total
24/04/2026 08:50:06,1968-09-30 00:00:00,0.103283548677298,0.13,7.43,5.55,30,Total
24/04/2026 08:50:06,1968-10-31 00:00:00,0.103640225954427,0.35,6.97,5.91,30,Total
24/04/2026 08:50:06,1968-11-30 00:00:00,0.104361258493125,0.7,7.12,6.65,30,Total
24/04/2026 08:50:06,1968-12-31 00:00:00,0.104221658776049,-0.13,6.51,6.51,30,Total
24/04/2026 08:50:06,1969-01-31 00:00:00,0.105455022276416,1.18,6.71,1.18,30,Total
24/04/2026 08:50:06,1969-02-28 00:00:00,0.105149996894604,-0.29,6.41,0.89,30,Total
24/04/2026 08:50:06,1969-03-31 00:00:00,0.106019005133403,0.83,6.17,1.72,30,Total
24/04/2026 08:50:06,1969-04-30 00:00:00,0.107775867572805,1.66,6.18,3.41,30,Total
24/04/2026 08:50:06,1969-05-31 00:00:00,0.1087405016178,0.89,6.42,4.34,30,Total
24/04/2026 08:50:06,1969-06-30 00:00:00,0.109322632438007,0.54,6.58,4.89,30,Total
24/04/2026 08:50:06,1969-07-31 00:00:00,0.109756089559529,0.4,6.16,5.31,30,Total
24/04/2026 08:50:06,1969-08-31 00:00:00,0.110164418731976,0.37,6.81,5.7,30,Total
24/04/2026 08:50:06,1969-09-30 00:00:00,0.110877075287649,0.65,7.35,6.39,30,Total
24/04/2026 08:50:06,1969-10-31 00:00:00,0.112312160379191,1.29,8.37,7.76,30,Total
24/04/2026 08:50:06,1969-11-30 00:00:00,0.112597641800611,0.25,7.89,8.04,30,Total
24/04/2026 08:50:06,1969-12-31 00:00:00,0.113213974551502,0.55,8.63,8.63,30,Total
24/04/2026 08:50:06,1970-01-31 00:00:00,0.113211880555746,0,7.36,0,30,Total
24/04/2026 08:50:06,1970-02-28 00:00:00,0.113237706503405,0.02,7.69,0.02,30,Total
24/04/2026 08:50:06,1970-03-31 00:00:00,0.11420094455123,0.85,7.72,0.87,30,Total
