Date,Dif Rates,Rate_COP
2019-04-01,-1.6470000000000002,3146.74
2019-04-02,-1.6470000000000002,3143.2
2019-04-03,-1.6350000000000002,3128.68
2019-04-04,-1.6470000000000002,3132.9
2019-04-05,-1.646,3126.35
2019-04-08,-1.646,3115.22
2019-04-09,-1.6559999999999997,3105.18
2019-04-10,-1.657,3095.67
2019-04-11,-1.669,3113.59
2019-04-12,-1.6679999999999997,3109.0
2019-04-15,-1.6400000000000001,3136.17
2019-04-16,-1.6400000000000001,3160.71
2019-04-17,-1.6050000000000004,3160.87
2019-04-18,-1.6050000000000004,3160.48
2019-04-22,-1.646,3139.4
2019-04-23,-1.646,3177.88
2019-04-24,-1.666,3195.23
2019-04-25,-1.6559999999999997,3233.0
2019-04-26,-1.6479999999999997,3237.98
2019-04-29,-1.626,3247.87
2019-04-30,-1.346,3233.95
2019-05-02,-1.6079999999999997,3262.9
2019-05-03,-1.6789999999999998,3240.52
2019-05-06,-1.689,3254.1
2019-05-07,-1.6700000000000004,3297.0
2019-05-08,-1.6800000000000002,3290.09
2019-05-09,-1.702,3278.0
2019-05-10,-1.7100000000000004,3274.25
2019-05-13,-1.7300000000000004,3274.3
2019-05-14,-1.7189999999999999,3284.72
2019-05-15,-1.6300000000000003,3296.2
2019-05-16,-1.6809999999999996,3290.14
2019-05-17,-1.6920000000000002,3290.27
2019-05-20,-1.722,3341.81
2019-05-21,-1.7330000000000005,3344.45
2019-05-22,-1.7430000000000003,3335.85
2019-05-23,-1.745,3378.2
2019-05-24,-1.7469999999999999,3358.77
2019-05-27,-1.7459999999999996,3358.68
2019-05-28,-1.7069999999999999,3379.55
2019-05-29,-1.714,3352.8
2019-05-30,-1.7130000000000005,3363.98
2019-05-31,-1.6230000000000002,3379.0
2019-06-04,-1.725,3292.38
2019-06-05,-1.7159999999999997,3305.98
2019-06-06,-1.717,3291.27
2019-06-07,-1.7280000000000002,3268.75
2019-06-10,-1.7259999999999995,3258.72
2019-06-11,-1.7309999999999999,3259.01
2019-06-12,-1.742,3269.0
2019-06-13,-1.762,3268.13
2019-06-14,-1.762,3273.88
2019-06-17,-1.702,3285.9
2019-06-18,-1.7209999999999996,3255.7
2019-06-19,-1.751,3241.0
2019-06-20,-1.7500000000000004,3193.99
2019-06-21,-1.7389999999999999,3203.05
2019-06-25,-1.6979999999999995,3190.68
2019-06-26,-1.6789999999999998,3183.94
2019-06-27,-1.6879999999999997,3197.65
2019-06-28,-1.6109999999999998,3211.65
2019-07-02,-1.604,3209.95
2019-07-03,-1.5530000000000004,3195.35
2019-07-04,-1.552,3198.11
2019-07-05,-1.5220000000000002,3210.13
2019-07-08,-1.6300000000000003,3217.98
2019-07-09,-1.6589999999999998,3218.5
2019-07-10,-1.649,3206.5
2019-07-11,-1.7000000000000002,3199.35
2019-07-12,-1.749,3192.9
2019-07-15,-1.649,3190.9
2019-07-16,-1.6389999999999998,3199.95
2019-07-17,-1.6400000000000001,3185.25
2019-07-18,-1.649,3176.5
2019-07-19,-1.7009999999999996,3173.4
2019-07-22,-1.7109999999999999,3175.88
2019-07-23,-1.7109999999999999,3188.57
2019-07-24,-1.7030000000000003,3198.8
2019-07-25,-1.6950000000000003,3217.58
2019-07-26,-1.7069999999999999,3237.55
2019-07-29,-1.717,3285.01
2019-07-30,-1.7269999999999999,3302.82
2019-07-31,-1.5680000000000005,3280.19
2019-08-01,-1.9300000000000002,3340.85
2019-08-02,-1.9300000000000002,3384.5
2019-08-05,-1.9889999999999999,3456.41
2019-08-06,-2.0110000000000006,3428.23
2019-08-08,-2.029,3369.32
2019-08-09,-2.009,3395.5
2019-08-12,-1.9989999999999997,3426.76
2019-08-13,-1.9589999999999996,3412.98
2019-08-14,-1.9889999999999999,3459.13
